id,title,description,category,priority
785,Report: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Low
786,Report: Battery health indicator for EV-116 has degraded significantly this month.,Battery health indicator for EV-116 has degraded significantly this month.,Battery,High
787,Report: EV-129 requires software update for the onboard diagnostics system.,EV-129 requires software update for the onboard diagnostics system.,Maintenance,Medium
788,Report: Suggestion received to add more charging stations near Mumbai East Hub.,Suggestion received to add more charging stations near Mumbai East Hub.,Other,Medium
789,Issue: Maintenance team flagged worn brake pads on EV-120.,Maintenance team flagged worn brake pads on EV-120.,Maintenance,Critical
790,EV-126 is making unusual noise from the motor.,EV-126 is making unusual noise from the motor.,Vehicle,Medium
791,Issue: EV-114 requires software update for the onboard diagnostics system.,EV-114 requires software update for the onboard diagnostics system.,Maintenance,Medium
792,Report: EV-100 AC is not working properly.,EV-100 AC is not working properly.,Vehicle,High
793,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,High
794,Report: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
795,Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Low
796,Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,High
797,Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Hub Operations,Low
798,Issue: EV-119 is due for scheduled maintenance and has not been serviced.,EV-119 is due for scheduled maintenance and has not been serviced.,Maintenance,High
799,Report: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Low
800,Issue: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
801,Alert: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
802,Report: GPS tracking for EV-113 is showing an incorrect location.,GPS tracking for EV-113 is showing an incorrect location.,Technical,Medium
803,Report: Backend sync issue causing duplicate ride records at Mumbai East Hub.,Backend sync issue causing duplicate ride records at Mumbai East Hub.,Technical,Medium
804,Report: Routine inspection revealed a coolant leak in EV-110.,Routine inspection revealed a coolant leak in EV-110.,Maintenance,High
805,Issue: Mobile app crashes when trying to book a ride from Mumbai East Hub.,Mobile app crashes when trying to book a ride from Mumbai East Hub.,Technical,Medium
806,Battery percentage dropped unusually fast during the last trip for EV-122.,Battery percentage dropped unusually fast during the last trip for EV-122.,Battery,Critical
807,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Critical
808,Report: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Low
809,Report: Charging cable at station 5 appears damaged and vehicle is not accepting charge.,Charging cable at station 5 appears damaged and vehicle is not accepting charge.,Charging,High
810,EV-106 battery temperature is unusually high during operation.,EV-106 battery temperature is unusually high during operation.,Battery,Critical
811,Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,High
812,Alert: Backend sync issue causing duplicate ride records at Pune Central Hub.,Backend sync issue causing duplicate ride records at Pune Central Hub.,Technical,High
813,Issue: Pune Central Hub requires additional staff during the evening peak hours.,Pune Central Hub requires additional staff during the evening peak hours.,Hub Operations,High
814,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
815,Report: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Low
816,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
817,EV-124 is not charging at station 5.,EV-124 is not charging at station 5.,Charging,High
818,Issue: Battery health indicator for EV-126 has degraded significantly this month.,Battery health indicator for EV-126 has degraded significantly this month.,Battery,High
819,Issue: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
820,"Alert: EV-123 shuts down unexpectedly, suspected battery fault.","EV-123 shuts down unexpectedly, suspected battery fault.",Battery,Medium
821,Alert: EV-127 maintenance was delayed due to parts unavailability.,EV-127 maintenance was delayed due to parts unavailability.,Maintenance,Medium
822,Report: EV-118 tyre pressure warning light is on.,EV-118 tyre pressure warning light is on.,Vehicle,High
823,Issue: Security gate at Mumbai East Hub is malfunctioning.,Security gate at Mumbai East Hub is malfunctioning.,Hub Operations,Critical
824,Alert: Mobile app crashes when trying to book a ride from Delhi North Hub.,Mobile app crashes when trying to book a ride from Delhi North Hub.,Technical,High
825,Alert: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
826,Issue: Ride was cancelled midway without explanation for EV-109.,Ride was cancelled midway without explanation for EV-109.,Ride,Low
827,Report: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
828,Report: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
829,GPS tracking for EV-120 is showing an incorrect location.,GPS tracking for EV-120 is showing an incorrect location.,Technical,Medium
830,Alert: EV-109 battery percentage is not increasing despite being connected at station 6.,EV-109 battery percentage is not increasing despite being connected at station 6.,Charging,High
831,Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,High
832,Alert: Suggestion received to add more charging stations near Mumbai East Hub.,Suggestion received to add more charging stations near Mumbai East Hub.,Other,Medium
833,Report: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Medium
834,Report: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
835,EV-125 shows sudden battery drain even when parked.,EV-125 shows sudden battery drain even when parked.,Battery,Low
836,Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
837,Issue: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Medium
